Image Identifier,Path,Filename,Marker,"Size category (Small, Medium, Large)",age (3 or 4 days),cotyledon width value (um),"stretch time point (t0, t5, no stretch)",Successfully stretched for 7h with all intermediate pictures available?,Control t0+t5,midline angle,number of brx cells in ROI set,"author that collected the image (WB, JC, or MY)",Flipped_t0,Flipped_channels,Replicate,Scale,Any extra notes?,
brxbrx_Aug12th_seed9cot1_t5,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed9cot1_t5,brxl,L,4,916,t5,,t5,130.1,50,WB+JC,0,,,,,
brxbrx_Aug12th_seed9cot2_t0,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed9cot2_t0,brxl,L,4,834,t0,,t0,-48.5,89,WB+JC,0,,,,,
brxbrx_Aug12th_seed9cot2_t5,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed9cot2_t5,brxl,L,4,1017,t5,,t5,125,,WB+JC,0,,,,,
brxbrx_Aug12th_seed10cot1_t0,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed10cot1_t0,brxl,M,4,673,t0,,t0,71.7,,WB+JC,1,,man,,,
brxbrx_Aug12th_seed10cot1_t5,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed10cot1_t5,brxl,,4,693,t5,,t5,-164,80,WB+JC,1,,man,,,
brxbrx_Aug12th_seed10cot2_t0,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed10cot2_t0,brxl,M,4,662,t0,,t0,-86.2,,WB+JC,1,,man,,,
brxbrx_Aug12th_seed10cot2_t5,Brx/unstretched_but_glued_tracked,brxbrx_aug12th_seed10cot2_t5,brxl,,4,724,t5,,t5,-16,42,WB+JC,1,,man,,,
brxbrx_Aug17th_seed8cot1_t0,Brx/unstretched_but_glued_tracked,brxbrx_17thAug_seed8cot1_t0,brxl,M,4,701,t0,,t0,98.4,71,WB+JC,1,,man,,,
brxbrx_Aug17th_seed8cot1_t5,Brx/unstretched_but_glued_tracked,brxbrx_17thAug_seed8cot1_t5,brxl,,4,760,t5,,t5,-5.7,69,WB+JC,1,,man,,,
35SBASL_18thAug_seed6cot1_t0,Ectopic_BASL/stretched/ds2,35SBASL_18thAug_seed6cot1_t0,35S_basl,,4,1070,t0,Y,,111.68,184,WB+JC,,,man,,,
35SBASL_18thAug_seed6cot2_t0,Ectopic_BASL/stretched/ds2,35SBASL_18thAug_seed6cot2_t0,35S_basl,,4,1082,t0,Y,,-89.3,214,WB+JC,,,man,,,
35SBASL_18thAug_seed6cot1_t5,Ectopic_BASL/stretched/ds2,35SBASL_18thAug_seed6cot1_t5,35S_basl,,4,1025,t5,Y,,-21.28,266,WB+JC,,,man,,,
35SBASL_18thAug_seed6cot2_t5,Ectopic_BASL/stretched/ds2,35SBASL_18thAug_seed6cot2_t5,35S_basl,,4,991,t5,Y,,-171.55,341,WB+JC,,,man,,,
brx_24Aug_seed1cot1_t0,Brx/stretched/ds2,Brx_24Aug_seed1_cot1_t0,brxl,S,3,525,t0,Y,,134.3,213,JC,0,0,man,,,
brx_24Aug_seed1cot2_t0,Brx/stretched/ds2,Brx_24Aug_seed1_cot2_t0,brxl,S,3,478,t0,Y,,-93.8,,JC,0,0,man,,,
brx_24Aug_seed2cot2_t0,Brx/stretched/ds2,Brx_24Aug_seed2_cot2_t0,brxl,S/M,3,563.4,t0,Y,,-69.4,,JC,0,0,man,0.6918,,
brx_24Aug_seed5cot2_t0,Brx/stretched/ds2,Brx_24Aug_seed5_cot2_t0,brxl,S,3,456,t0,Y,,-52.3,,JC,0,0,man,,,
brx_24Aug_seed1cot1_t5,Brx/stretched/ds2,Brx_24Aug_seed1_cot1_t5,brxl,M,3,620,t5,Y,,110.8,,JC,0,0,man,,,
brx_24Aug_seed1cot2_t5,Brx/stretched/ds2,Brx_24Aug_seed1_cot2_t5,brxl,M,3,605,t5,Y,,-83.18,,JC,0,0,man,,,
brx_24Aug_seed2cot2_t5,Brx/stretched/ds2,Brx_24Aug_seed2_cot2_t5,brxl,M,3,645,t5,Y,,-116.27,,JC,0,0,man,,,
brx_24Aug_seed5cot2_t5,Brx/stretched/ds2,Brx_24Aug_seed5_cot2_t5,brxl,M,3,581,t5,Y,,-79.1,,JC,0,0,man,,,
091919 2-brxl-t0,Brx/stretched/ds1,2-brxl-t0,brxl,,3,666,t0,Y,,-91,,MY,0,0,,,,
112819 5-brxl t0,Brx/stretched/ds1,5-brx t0,brxl,,3,566,t0,Y,,87,,MY,0,0,,,,
091919 2-brxl-t3,Brx/stretched/ds1,2-brxl-t3,brxl,,3,,t5,Y,,-80,,MY,0,0,,,,
112819 5-brx t3,Brx/stretched/ds1,5-brx t3,brxl,,3,685,t5,Y,,79,,MY,0,0,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_01,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_01,basl_basl,,3,493,no stretch,,,37.45,126,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_02,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_02,basl_basl,,3,538,no stretch,,,-73.4,82,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_03,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_03,basl_basl,,3,519,no stretch,,,-146.2,99,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_05,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_05,basl_basl,,3,621,no stretch,,,78.23,117,JC,,,,0.7576,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_06,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_06,basl_basl,,3,617,no stretch,,,-55.58,89,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_07,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_07,basl_basl,,3,647,no stretch,,,1.41,,JC,,,,,,
basl_basl_pm_25_sept_21.lif - basl_basl_pm_08,Native_BASL/unstretched_untracked,basl_basl_pm_25_sept_21.lif - basl_basl_pm_08,basl_basl,,3,637,no stretch,,,158.08,,JC,,,,,,
